files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0001.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0002.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0004.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0007.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0008.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0009.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0013.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0015.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0017.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0019.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0020.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0022.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0023.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0024.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0025.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0026.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0027.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0028.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0029.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0030.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0031.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0032.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0033.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0035.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0036.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0037.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0040.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0041.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0042.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0043.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0046.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0047.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0050.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0051.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0052.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0054.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0055.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0057.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0059.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0060.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0062.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0064.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0065.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0066.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0067.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0068.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0069.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0070.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0071.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0072.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0075.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0076.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0078.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0079.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0081.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0082.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0083.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0087.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0089.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0090.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0091.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0092.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0095.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0097.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0100.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0102.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0106.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0111.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0112.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0113.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0115.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0116.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0118.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0121.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0122.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0123.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0128.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0129.png;1;1
D:/GitHub/Datasets/Cifar10_2/train/airplane/airplane_0131.png;1;1
