Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,7895982
True Negative;3676,000000;1191,000000; 381,000000;3981,000000;1315,000000; 422,000000; 305,000000; 124,000000; 41,000000;0,7895982
False Positive; 824,000000; 309,000000; 119,000000; 519,000000; 185,000000;  78,000000;-305,000000;-124,000000;-41,000000;0,7895982
False Negative; 170,000000;  71,000000;  22,000000; 418,000000; 162,000000;  57,000000; 248,000000;  91,000000; 35,000000;0,7895982
True Positive;4330,000000;1429,000000; 478,000000;4082,000000;1338,000000; 443,000000;-248,000000; -91,000000;-35,000000;0,7895982
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,7895982
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,7895982
Accuracy;   0,889556;   0,873333;   0,859000;   0,895889;   0,884333;   0,865000;   0,006333;   0,011000;  0,006000;0,7895982
Balanced Accuracy;   0,889556;   0,873333;   0,859000;   0,895889;   0,884333;   0,865000;   0,006333;   0,011000;  0,006000;0,7895982
Area Under ROC Curve;   0,965960;   0,957790;   0,953068;   0,965960;   0,957790;   0,953068;   0,000000;   0,000000;  0,000000;0,7895982
Bias;  -0,072667;  -0,079333;  -0,097000;  -0,011222;  -0,007667;  -0,021000;   0,061445;   0,071666;  0,076000;0,7895982
Classification Error;   0,110444;   0,126667;   0,141000;   0,104111;   0,115667;   0,135000;  -0,006333;  -0,011000; -0,006000;0,7895982
True Positive Rate;   0,962222;   0,952667;   0,956000;   0,907111;   0,892000;   0,886000;  -0,055111;  -0,060667; -0,070000;0,7895982
True Negative Rate;   0,816889;   0,794000;   0,762000;   0,884667;   0,876667;   0,844000;   0,067778;   0,082667;  0,082000;0,7895982
Positive Prediction Value;   0,840124;   0,822209;   0,800670;   0,887198;   0,878529;   0,850288;   0,047074;   0,056320;  0,049618;0,7895982
Negative Predictive Value;   0,955798;   0,943740;   0,945409;   0,904978;   0,890318;   0,881002;  -0,050820;  -0,053422; -0,064407;0,7895982
False Negative Rate;   0,037778;   0,047333;   0,044000;   0,092889;   0,108000;   0,114000;   0,055111;   0,060667;  0,070000;0,7895982
False Positive Rate;   0,183111;   0,206000;   0,238000;   0,115333;   0,123333;   0,156000;  -0,067778;  -0,082667; -0,082000;0,7895982
False Discovery Rate;   0,159876;   0,177791;   0,199330;   0,112802;   0,121471;   0,149712;  -0,047074;  -0,056320; -0,049618;0,7895982
False Omission Rate;   0,044202;   0,056260;   0,054591;   0,095022;   0,109682;   0,118998;   0,050820;   0,053422;  0,064407;0,7895982
Threat Score;   0,813298;   0,789939;   0,772213;   0,813309;   0,794065;   0,766436;   0,000011;   0,004126; -0,005777;0,7895982
F1 Score;   0,897037;   0,882644;   0,871468;   0,897044;   0,885213;   0,867777;   0,000007;   0,002569; -0,003691;0,7895982
Bookmaker Informedness;   0,779111;   0,746667;   0,718000;   0,791778;   0,768667;   0,730000;   0,012667;   0,022000;  0,012000;0,7895982
Markedness;   0,795922;   0,765950;   0,746079;   0,792177;   0,768847;   0,731290;  -0,003745;   0,002897; -0,014789;0,7895982
Gini Index;   0,931920;   0,915580;   0,906136;   0,931920;   0,915580;   0,906136;   0,000000;   0,000000;  0,000000;0,7895982
Cost; 994,000000; 380,000000; 141,000000; 937,000000; 347,000000; 135,000000; -57,000000; -33,000000; -6,000000;0,7895982
