Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,7895982
True Negative;3981,000000;1315,000000; 422,000000;0,7895982
False Positive; 519,000000; 185,000000;  78,000000;0,7895982
False Negative; 418,000000; 162,000000;  57,000000;0,7895982
True Positive;4082,000000;1338,000000; 443,000000;0,7895982
Condition Negative;4500,000000;1500,000000; 500,000000;0,7895982
Condition Positive;4500,000000;1500,000000; 500,000000;0,7895982
Accuracy;   0,895889;   0,884333;   0,865000;0,7895982
Balanced Accuracy;   0,895889;   0,884333;   0,865000;0,7895982
Area Under ROC Curve;   0,965960;   0,957790;   0,953068;0,7895982
Bias;  -0,011222;  -0,007667;  -0,021000;0,7895982
Classification Error;   0,104111;   0,115667;   0,135000;0,7895982
True Positive Rate;   0,907111;   0,892000;   0,886000;0,7895982
True Negative Rate;   0,884667;   0,876667;   0,844000;0,7895982
Positive Prediction Value;   0,887198;   0,878529;   0,850288;0,7895982
Negative Predictive Value;   0,904978;   0,890318;   0,881002;0,7895982
False Negative Rate;   0,092889;   0,108000;   0,114000;0,7895982
False Positive Rate;   0,115333;   0,123333;   0,156000;0,7895982
False Discovery Rate;   0,112802;   0,121471;   0,149712;0,7895982
False Omission Rate;   0,095022;   0,109682;   0,118998;0,7895982
Threat Score;   0,813309;   0,794065;   0,766436;0,7895982
F1 Score;   0,897044;   0,885213;   0,867777;0,7895982
Bookmaker Informedness;   0,791778;   0,768667;   0,730000;0,7895982
Markedness;   0,792177;   0,768847;   0,731290;0,7895982
Gini Index;   0,931920;   0,915580;   0,906136;0,7895982
Cost; 937,000000; 347,000000; 135,000000;0,7895982
