Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,06505718
True Negative;3301,000000;1100,000000; 367,000000;0,06505718
False Positive;1199,000000; 400,000000; 133,000000;0,06505718
False Negative;1449,000000; 494,000000; 168,000000;0,06505718
True Positive;3051,000000;1006,000000; 332,000000;0,06505718
Condition Negative;4500,000000;1500,000000; 500,000000;0,06505718
Condition Positive;4500,000000;1500,000000; 500,000000;0,06505718
Accuracy;   0,705778;   0,702000;   0,699000;0,06505718
Balanced Accuracy;   0,705778;   0,702000;   0,699000;0,06505718
Area Under ROC Curve;   0,795447;   0,790003;   0,785196;0,06505718
Bias;  -0,972222;  -0,968667;  -0,965000;0,06505718
Classification Error;   0,294222;   0,298000;   0,301000;0,06505718
True Positive Rate;   0,678000;   0,670667;   0,664000;0,06505718
True Negative Rate;   0,733556;   0,733333;   0,734000;0,06505718
Positive Prediction Value;   0,717882;   0,715505;   0,713978;0,06505718
Negative Predictive Value;   0,694947;   0,690088;   0,685981;0,06505718
False Negative Rate;   0,322000;   0,329333;   0,336000;0,06505718
False Positive Rate;   0,266444;   0,266667;   0,266000;0,06505718
False Discovery Rate;   0,282118;   0,284495;   0,286022;0,06505718
False Omission Rate;   0,305053;   0,309912;   0,314019;0,06505718
Threat Score;   0,535357;   0,529474;   0,524487;0,06505718
F1 Score;   0,697371;   0,692361;   0,688083;0,06505718
Bookmaker Informedness;   0,411556;   0,404000;   0,398000;0,06505718
Markedness;   0,412830;   0,405593;   0,399960;0,06505718
Gini Index;   0,590893;   0,580006;   0,570392;0,06505718
Cost;2648,000000; 894,000000; 301,000000;0,06505718
