V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;filepath;actual_class;model
1,434661e-01;3,211765e-02;7,558028e-01;5,092268e-04;3,044819e-04;1,947898e-04;1,518221e-02;9,297739e-05;5,173608e-02;5,936247e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0001.png; 1;DenseNet169
8,053254e-01;1,080514e-02;1,696210e-01;9,230494e-05;1,325429e-04;1,060190e-05;6,694796e-03;3,424588e-05;7,177448e-03;1,064269e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0002.png; 1;DenseNet169
3,943350e-02;4,331095e-01;3,251060e-01;2,371486e-03;1,283500e-01;6,961841e-03;2,895861e-03;3,717593e-02;2,582079e-03;2,201383e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0003.png; 1;DenseNet169
8,304434e-01;5,636910e-03;1,375668e-01;2,669097e-04;1,911694e-03;3,273018e-05;2,123891e-02;5,990561e-04;1,286100e-03;1,017560e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0004.png; 1;DenseNet169
4,729250e-01;5,500508e-04;2,224281e-01;6,268432e-03;2,438858e-01;7,621049e-04;2,463352e-02;1,104223e-03;2,693654e-02;5,062639e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0005.png; 1;DenseNet169
9,519323e-02;7,733395e-01;6,464435e-03;8,799752e-04;1,245777e-02;2,119426e-04;1,251772e-03;9,739337e-04;2,299000e-02;8,623745e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0006.png; 1;DenseNet169
9,145898e-01;1,240203e-03;5,641052e-02;2,399043e-04;1,802908e-03;1,369310e-05;5,906573e-03;1,663779e-05;1,963402e-02;1,457977e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0007.png; 1;DenseNet169
3,750183e-01;2,170177e-02;4,336868e-01;2,671449e-03;7,355953e-03;5,059349e-04;1,064437e-01;2,808258e-03;4,862254e-02;1,185258e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0008.png; 1;DenseNet169
8,289415e-01;1,943473e-05;1,556800e-01;5,856661e-05;1,415812e-02;8,390450e-06;9,722814e-04;7,491899e-06;1,502462e-04;4,113680e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0009.png; 1;DenseNet169
7,778694e-01;6,905149e-04;1,388698e-01;7,663689e-04;3,552959e-02;4,316113e-05;3,767513e-02;4,394952e-04;6,801710e-03;1,314782e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0010.png; 1;DenseNet169
1,771636e-03;6,560488e-03;2,614133e-02;1,743726e-02;1,212663e-03;9,182282e-01;3,727639e-04;2,745149e-02;1,145889e-05;8,126377e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0011.png; 1;DenseNet169
2,786123e-01;6,480930e-04;6,038297e-01;9,269808e-03;5,275464e-02;1,799174e-03;2,456309e-02;1,485398e-03;2,594853e-02;1,089326e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0012.png; 1;DenseNet169
2,001386e-01;1,457349e-02;2,474660e-01;1,411532e-01;2,393587e-02;2,565618e-01;9,259065e-03;1,382140e-02;1,783800e-02;7,525273e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0013.png; 1;DenseNet169
8,684826e-01;4,717949e-04;2,967307e-02;2,648496e-04;3,494089e-03;2,487255e-05;1,519119e-03;3,368714e-05;9,595034e-02;8,552398e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0014.png; 1;DenseNet169
9,997576e-01;9,194649e-06;1,861357e-04;8,915925e-08;2,341940e-05;6,917645e-09;1,235553e-06;4,884599e-09;1,964931e-05;2,608266e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0015.png; 1;DenseNet169
9,502040e-01;2,488376e-05;1,627493e-02;1,281001e-04;1,479570e-02;1,770743e-05;7,708705e-05;2,318514e-05;1,820143e-02;2,528945e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0016.png; 1;DenseNet169
1,426689e-01;3,827209e-03;6,459121e-01;6,004648e-03;1,612139e-01;1,443470e-03;1,798752e-02;8,873908e-03;7,858901e-03;4,209528e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0017.png; 1;DenseNet169
2,762707e-01;1,350451e-03;4,617627e-01;1,488376e-03;2,225590e-01;2,606011e-04;2,255778e-02;5,480247e-03;7,840448e-03;4,295645e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0018.png; 1;DenseNet169
9,984221e-01;1,413071e-05;8,587115e-04;7,712511e-06;4,356029e-04;8,015830e-07;7,073946e-05;4,823409e-07;1,825765e-04;7,071642e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0019.png; 1;DenseNet169
9,091320e-01;6,057764e-05;4,577997e-02;6,128263e-04;3,475145e-02;7,601560e-05;3,254058e-03;1,399715e-04;6,097479e-03;9,558253e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0020.png; 1;DenseNet169
9,816126e-01;6,649750e-03;2,856174e-03;9,317730e-04;3,727563e-03;6,135587e-04;7,666548e-05;2,598888e-04;2,310710e-03;9,612948e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0021.png; 1;DenseNet169
1,805201e-01;1,635634e-04;7,420320e-01;4,854262e-03;5,272275e-02;9,153081e-04;1,926624e-03;1,225886e-03;1,481166e-02;8,278387e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0022.png; 1;DenseNet169
2,584399e-01;6,670484e-02;3,811617e-01;1,087610e-02;2,783197e-02;1,521558e-02;5,600194e-02;5,050232e-03;1,555085e-01;2,320929e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0023.png; 1;DenseNet169
9,273551e-01;5,121219e-03;5,552173e-02;1,116768e-04;1,311655e-03;3,165450e-05;2,546345e-03;6,242561e-05;7,652610e-03;2,856882e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0024.png; 1;DenseNet169
9,186789e-01;1,347814e-04;7,865104e-02;1,168199e-04;1,003941e-03;4,213204e-05;6,847333e-04;7,065011e-06;6,169547e-04;6,361203e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0025.png; 1;DenseNet169
4,053743e-01;4,651665e-03;4,525573e-01;7,060099e-04;1,008774e-01;2,132601e-04;1,352424e-02;1,915464e-02;1,770402e-03;1,170824e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0026.png; 1;DenseNet169
9,917617e-01;1,876316e-04;4,692343e-03;2,772998e-05;3,251706e-04;1,528829e-06;2,650704e-04;4,487867e-06;2,672442e-03;6,196515e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0027.png; 1;DenseNet169
9,362764e-01;2,483741e-03;2,463670e-02;5,772352e-04;3,655304e-03;7,422344e-05;4,040288e-03;1,035927e-04;2,773022e-02;4,223133e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0028.png; 1;DenseNet169
5,090413e-01;4,978961e-05;4,847828e-01;1,503808e-04;1,619451e-03;1,308661e-05;2,771957e-03;1,162248e-05;1,551233e-03;8,434833e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0029.png; 1;DenseNet169
3,676324e-01;2,406403e-05;6,016730e-01;4,649975e-04;1,902037e-02;2,762383e-05;1,007819e-02;1,193156e-04;9,519386e-04;8,094174e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0030.png; 1;DenseNet169
5,379841e-01;1,508018e-02;2,275934e-01;5,763045e-03;7,616270e-02;6,010831e-04;4,240650e-02;4,910066e-03;8,445044e-02;5,048450e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0031.png; 1;DenseNet169
7,155824e-01;5,904367e-04;2,535517e-01;2,484590e-04;4,296281e-03;7,892087e-06;1,555533e-02;1,048598e-04;1,001585e-02;4,676453e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0032.png; 1;DenseNet169
9,052994e-01;2,782361e-04;8,678579e-02;4,895735e-05;4,283762e-04;2,869226e-06;6,798340e-03;6,600469e-06;3,262359e-04;2,528245e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0033.png; 1;DenseNet169
7,082496e-01;1,128433e-04;1,406687e-01;5,754253e-04;1,240531e-01;3,250777e-05;3,150848e-03;1,487444e-03;2,138821e-02;2,813253e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0034.png; 1;DenseNet169
1,472678e-01;6,287206e-04;6,647713e-02;1,732861e-01;9,377586e-03;5,961331e-01;1,542908e-03;3,703056e-03;4,571188e-04;1,126550e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0035.png; 1;DenseNet169
4,697819e-01;2,331086e-03;4,695486e-01;3,451738e-04;1,726611e-03;2,554021e-05;2,345126e-02;5,690674e-05;3,262805e-02;1,048474e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0036.png; 1;DenseNet169
2,991890e-01;5,094256e-02;4,107602e-02;7,542142e-04;1,256508e-03;2,198361e-04;2,854045e-03;2,562723e-04;5,785768e-01;2,487479e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0037.png; 1;DenseNet169
9,926770e-01;1,216509e-04;4,803716e-03;1,832910e-05;1,016239e-03;1,442040e-06;8,645823e-05;5,447974e-06;1,224920e-03;4,470792e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0038.png; 1;DenseNet169
6,380180e-01;1,913300e-03;1,269240e-01;5,749707e-04;1,913684e-01;9,549783e-05;2,254537e-03;2,111139e-03;2,402408e-02;1,271596e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0039.png; 1;DenseNet169
6,411282e-01;3,714625e-02;2,474226e-01;1,014565e-03;1,312111e-03;5,403141e-04;3,738677e-02;1,970357e-04;2,232802e-02;1,152422e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0040.png; 1;DenseNet169
9,592030e-01;1,056351e-04;3,848355e-02;1,046609e-05;7,185657e-04;9,042323e-07;2,561453e-04;1,456581e-06;1,216237e-03;4,010542e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0041.png; 1;DenseNet169
7,455117e-01;2,307170e-04;1,880349e-01;3,839853e-03;4,403870e-02;8,659949e-04;4,322474e-03;3,304289e-04;1,271532e-02;1,100880e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0042.png; 1;DenseNet169
8,023096e-01;4,688298e-04;1,627100e-01;1,125718e-03;9,798700e-03;7,798679e-05;1,653518e-02;1,589442e-03;5,186549e-03;1,979407e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0043.png; 1;DenseNet169
4,555767e-01;3,280015e-02;3,669333e-02;2,154973e-03;9,597459e-03;9,434851e-04;1,338813e-03;6,310960e-04;4,560623e-01;4,201788e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0044.png; 1;DenseNet169
8,531330e-01;1,118590e-03;1,090115e-01;1,505809e-04;2,220822e-02;2,238171e-05;4,616629e-03;2,389455e-04;8,424575e-03;1,075566e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0045.png; 1;DenseNet169
3,762605e-01;2,461075e-04;5,030557e-01;5,866992e-03;9,346021e-02;1,292140e-03;1,300979e-02;1,850329e-03;4,883184e-03;7,503982e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0046.png; 1;DenseNet169
9,902048e-01;4,129094e-05;3,855080e-03;3,262472e-05;1,444508e-03;3,589820e-06;2,923208e-04;3,600294e-06;4,095231e-03;2,685949e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0047.png; 1;DenseNet169
3,580303e-01;1,979659e-04;4,756596e-01;7,314148e-04;1,297486e-01;8,649340e-05;1,895297e-03;5,305728e-03;2,816827e-02;1,762894e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0048.png; 1;DenseNet169
9,990747e-01;1,188898e-05;8,316477e-04;1,227784e-07;4,862701e-05;6,623194e-09;1,126124e-05;1,317277e-08;2,071901e-05;9,757979e-07;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0049.png; 1;DenseNet169
4,662731e-01;1,243162e-01;3,983711e-01;6,387965e-04;9,286093e-04;3,363243e-04;4,801020e-03;2,559668e-04;3,260495e-03;8,183335e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0050.png; 1;DenseNet169
9,653714e-01;1,116970e-04;1,958080e-02;9,086749e-04;3,268498e-03;7,752613e-05;3,253537e-03;4,260878e-05;7,337380e-03;4,787145e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0051.png; 1;DenseNet169
5,968932e-01;1,024847e-03;3,517905e-01;1,231241e-03;2,429490e-03;1,247750e-04;3,423553e-02;2,532390e-04;1,192766e-02;8,950690e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0052.png; 1;DenseNet169
7,319511e-01;8,052387e-02;1,010729e-01;3,053126e-03;2,731336e-02;1,366819e-03;3,141161e-03;4,839804e-03;3,195485e-02;1,478304e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0053.png; 1;DenseNet169
3,792996e-01;1,347040e-02;5,491570e-01;8,431154e-03;6,704887e-03;1,826355e-02;7,017367e-03;5,395033e-03;2,992860e-03;9,268221e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0054.png; 1;DenseNet169
8,151649e-01;4,195004e-05;1,718117e-01;9,541296e-04;3,409406e-03;7,101306e-05;4,726048e-03;1,552959e-05;3,791550e-03;1,371993e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0055.png; 1;DenseNet169
9,921430e-01;2,489368e-04;4,911193e-03;1,093218e-05;3,669681e-04;1,238387e-06;2,833490e-04;7,512808e-07;2,010388e-03;2,321779e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0056.png; 1;DenseNet169
9,465289e-01;3,476040e-03;3,754662e-02;1,196336e-04;1,686748e-03;4,535497e-06;4,225874e-03;3,185798e-05;5,390991e-03;9,888938e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0057.png; 1;DenseNet169
8,970792e-01;5,922544e-05;8,784775e-02;6,821956e-05;1,339795e-02;8,900126e-06;6,485909e-04;1,743182e-05;8,495618e-04;2,317119e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0058.png; 1;DenseNet169
6,916819e-01;1,210367e-04;1,657736e-01;5,926158e-03;9,944852e-02;4,099714e-04;6,279542e-03;2,173077e-04;2,945393e-02;6,881410e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0059.png; 1;DenseNet169
5,688089e-01;1,020789e-02;3,378486e-01;2,712292e-04;1,406893e-03;1,466808e-05;6,411093e-02;1,610797e-04;1,701864e-02;1,512199e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0060.png; 1;DenseNet169
6,368831e-01;8,229528e-02;2,100088e-01;5,843573e-04;5,605214e-04;4,482665e-05;3,113913e-02;3,654402e-04;3,778109e-02;3,373751e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0061.png; 1;DenseNet169
6,010758e-01;1,152009e-01;8,786346e-02;6,943423e-03;3,647218e-02;4,227995e-03;5,926701e-03;1,984227e-03;1,941671e-02;1,208887e-01;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0062.png; 1;DenseNet169
2,846797e-01;2,342486e-01;2,397951e-01;1,275007e-02;6,902945e-02;1,993764e-03;8,917837e-02;1,852142e-03;4,599644e-02;2,047639e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0063.png; 1;DenseNet169
3,508197e-01;7,755865e-03;5,567194e-01;2,173006e-03;1,568803e-02;4,842495e-04;3,258801e-02;4,177341e-04;3,099013e-02;2,363739e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0064.png; 1;DenseNet169
9,745468e-01;6,699112e-04;2,106857e-02;2,742810e-05;5,080467e-04;8,887313e-07;2,244556e-03;4,275762e-05;8,471920e-04;4,385268e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0065.png; 1;DenseNet169
7,544420e-01;2,343312e-05;1,075244e-01;1,541627e-03;1,200916e-01;2,409467e-04;8,733217e-04;5,097531e-04;1,471062e-02;4,242720e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0066.png; 1;DenseNet169
5,112361e-01;1,714757e-03;4,791255e-01;2,964540e-04;1,067123e-03;1,623913e-04;4,568607e-03;1,047626e-05;1,556501e-03;2,620342e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0067.png; 1;DenseNet169
9,782915e-01;9,728403e-05;2,062791e-02;1,435605e-06;8,079553e-04;1,801794e-07;1,266155e-04;4,957290e-07;4,199869e-05;4,502651e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0068.png; 1;DenseNet169
9,895020e-01;1,374164e-05;9,365817e-03;4,371169e-06;2,753173e-04;1,391210e-07;6,790662e-04;8,014109e-07;1,496085e-04;9,112202e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0069.png; 1;DenseNet169
9,635178e-01;9,611247e-06;3,449114e-02;1,478667e-04;9,015474e-04;6,666220e-06;2,039043e-04;4,366651e-06;6,795224e-04;3,749822e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0070.png; 1;DenseNet169
7,677391e-01;2,253675e-03;2,184266e-01;1,058848e-03;1,347134e-03;1,815815e-04;1,201904e-03;8,254732e-05;6,938608e-03;7,698760e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0071.png; 1;DenseNet169
9,475606e-01;2,970205e-05;4,242697e-02;9,068188e-05;5,781402e-03;6,350900e-06;1,563587e-03;2,774639e-05;2,450014e-03;6,291980e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0072.png; 1;DenseNet169
5,258408e-01;1,746969e-01;2,380872e-01;8,833162e-04;1,555865e-02;7,488948e-04;5,010215e-03;3,403410e-03;1,011583e-02;2,565471e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0073.png; 1;DenseNet169
3,457195e-01;3,866438e-03;5,542922e-01;2,163627e-03;4,084376e-02;4,213642e-04;3,319669e-02;9,140619e-03;9,898666e-03;4,571583e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0074.png; 1;DenseNet169
6,614274e-01;2,379104e-02;1,435612e-01;1,027232e-03;2,413000e-03;5,748104e-05;3,403553e-02;2,624054e-04;1,326690e-01;7,555924e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0075.png; 1;DenseNet169
5,367042e-01;1,045138e-02;4,205208e-01;7,294766e-04;1,633018e-02;1,156284e-04;1,149995e-02;1,212140e-03;7,203127e-04;1,715860e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0076.png; 1;DenseNet169
8,984094e-01;2,352766e-05;8,453178e-02;9,095380e-04;6,185864e-03;1,347929e-04;5,554128e-03;1,725902e-05;4,195541e-03;3,814428e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0077.png; 1;DenseNet169
7,854399e-01;4,766994e-04;1,900081e-01;8,807342e-04;3,461540e-03;6,993092e-05;4,721787e-03;1,308031e-04;1,473521e-02;7,529450e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0078.png; 1;DenseNet169
5,603858e-01;1,002375e-04;4,066482e-01;9,391176e-04;2,602729e-02;6,746706e-04;2,011084e-03;1,066431e-04;3,016034e-03;9,098533e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0079.png; 1;DenseNet169
9,955035e-01;2,261839e-03;2,025385e-03;1,342391e-07;6,663382e-05;1,236969e-08;3,553465e-05;3,144698e-08;1,534801e-05;9,167150e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0080.png; 1;DenseNet169
9,949082e-01;5,234925e-06;4,746841e-03;4,964339e-07;2,838403e-04;2,875519e-08;4,809648e-05;7,464407e-08;5,319433e-06;1,907130e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0081.png; 1;DenseNet169
9,726795e-01;9,196268e-05;2,143974e-02;1,164371e-04;4,367286e-03;1,811901e-05;3,505753e-04;1,303572e-05;8,287834e-04;9,454786e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0082.png; 1;DenseNet169
8,807869e-01;9,879934e-05;1,140073e-01;6,069681e-05;2,714982e-03;2,305040e-06;2,054798e-03;2,747151e-05;2,189064e-04;2,786755e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0083.png; 1;DenseNet169
5,596443e-01;1,501847e-03;3,333602e-01;4,127526e-03;7,998108e-02;7,034010e-04;7,708403e-03;2,589631e-03;1,016146e-02;2,222487e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0084.png; 1;DenseNet169
3,576987e-01;7,285533e-03;4,415378e-01;5,136542e-03;1,536182e-01;3,963456e-03;4,804590e-03;5,632272e-03;1,913688e-02;1,186023e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0085.png; 1;DenseNet169
