V1;V2;filepath
7,696109e-01;2,303891e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1.jpg
5,181133e-03;9,948189e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat10.jpg
9,990059e-01;9,941965e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat100.jpg
1,074592e-01;8,925408e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1000.jpg
9,998859e-01;1,140549e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1001.jpg
9,988649e-01;1,135179e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1002.jpg
9,982024e-01;1,797596e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1003.jpg
1,252792e-01;8,747209e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1004.jpg
9,776250e-01;2,237497e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1005.jpg
5,447429e-01;4,552571e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1006.jpg
1,000000e+00;5,305772e-10;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1007.jpg
2,969761e-01;7,030239e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1008.jpg
5,611149e-01;4,388851e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1009.jpg
2,511633e-04;9,997489e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat101.jpg
8,551613e-01;1,448387e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1010.jpg
9,999990e-01;9,252535e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1011.jpg
2,659908e-04;9,997340e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1012.jpg
9,941240e-01;5,876064e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1013.jpg
1,281811e-02;9,871819e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1014.jpg
1,509226e-01;8,490774e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1015.jpg
9,999697e-01;3,026841e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1016.jpg
9,329365e-01;6,706341e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1017.jpg
3,774035e-01;6,225965e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1018.jpg
9,934565e-01;6,543414e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1019.jpg
2,153872e-03;9,978461e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat102.jpg
4,793688e-01;5,206311e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1020.jpg
7,157181e-01;2,842819e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1021.jpg
9,007379e-01;9,926209e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1022.jpg
9,917141e-01;8,285883e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1023.jpg
7,460315e-02;9,253969e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1024.jpg
9,999357e-01;6,427123e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1025.jpg
5,528987e-03;9,944711e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1026.jpg
8,983490e-01;1,016510e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1027.jpg
1,276779e-01;8,723220e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1028.jpg
9,999593e-01;4,067556e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1029.jpg
9,992251e-01;7,748005e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat103.jpg
9,999967e-01;3,337533e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1030.jpg
5,224587e-01;4,775414e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1031.jpg
9,999778e-01;2,221686e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1032.jpg
9,979821e-01;2,017786e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1033.jpg
9,998159e-01;1,841661e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1034.jpg
1,697989e-01;8,302011e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1035.jpg
