files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/train/airplane/0001.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0011.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0012.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0013.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0022.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0023.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0036.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0046.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0053.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0061.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0067.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0074.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/0076.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0085.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0091.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0104.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0108.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0118.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0122.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0129.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0134.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0142.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0148.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0163.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0169.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0173.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0179.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0181.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0184.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0185.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0197.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0218.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0221.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0224.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0225.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0243.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0244.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0245.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0256.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0262.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0267.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0270.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0273.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0276.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0278.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0279.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0289.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0291.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0294.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0295.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0296.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0298.png; 1; 9
D:/GitHub/Datasets/Cifar10/train/airplane/0310.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0322.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0323.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0336.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0343.png; 1; 4
