files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0002.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0006.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0007.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0009.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0010.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0015.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0016.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0018.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0019.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0020.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0024.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0025.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0026.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0027.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0028.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0029.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0033.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0034.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0036.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0038.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0041.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0044.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0045.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0047.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0049.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0053.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0055.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0056.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0057.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0058.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0059.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0062.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0066.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0067.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0068.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0069.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0070.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0071.png; 1; 1
