Metric;ResNet50;Xception;MobileNet_V2;Inception_V3;Inception_ResNet_V2;train_optimized;validation_optimized;train_validation_optimized
Number of Observations;9000,000000;9000,000000;9000,000000;9000,000000;9000,000000;9000,000000;9000,000000;9000,000000
True Negative;3777,000000;4378,000000;4470,000000;4408,000000;4039,000000;4487,000000;4443,000000;4443,000000
False Positive; 723,000000; 122,000000;  30,000000;  92,000000; 461,000000;  13,000000;  57,000000;  57,000000
False Negative; 186,000000;  38,000000;1654,000000; 437,000000;  96,000000; 111,000000;  43,000000;  43,000000
True Positive;4314,000000;4462,000000;2846,000000;4063,000000;4404,000000;4389,000000;4457,000000;4457,000000
Condition Negative;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000
Condition Positive;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000;4500,000000
Accuracy;   0,899000;   0,982222;   0,812889;   0,941222;   0,938111;   0,986222;   0,988889;   0,988889
Balanced Accuracy;   0,899000;   0,982222;   0,812889;   0,941222;   0,938111;   0,986222;   0,988889;   0,988889
Area Under ROC Curve;   0,974024;   0,998628;   0,973275;   0,992803;   0,989821;   0,999627;   0,999582;   0,999582
Bias;  -1,059667;  -1,009333;  -0,819556;  -0,961667;  -1,040556;  -0,989111;  -1,001556;  -1,001556
Classification Error;   0,101000;   0,017778;   0,187111;   0,058778;   0,061889;   0,013778;   0,011111;   0,011111
True Positive Rate;   0,958667;   0,991556;   0,632444;   0,902889;   0,978667;   0,975333;   0,990444;   0,990444
True Negative Rate;   0,839333;   0,972889;   0,993333;   0,979556;   0,897556;   0,997111;   0,987333;   0,987333
Positive Prediction Value;   0,856462;   0,973386;   0,989569;   0,977858;   0,905242;   0,997047;   0,987373;   0,987373
Negative Predictive Value;   0,953066;   0,991395;   0,729915;   0,909804;   0,976784;   0,975859;   0,990415;   0,990415
False Negative Rate;   0,041333;   0,008444;   0,367556;   0,097111;   0,021333;   0,024667;   0,009556;   0,009556
False Positive Rate;   0,160667;   0,027111;   0,006667;   0,020444;   0,102444;   0,002889;   0,012667;   0,012667
False Discovery Rate;   0,143538;   0,026614;   0,010431;   0,022142;   0,094758;   0,002953;   0,012627;   0,012627
False Omission Rate;   0,046934;   0,008605;   0,270085;   0,090196;   0,023216;   0,024141;   0,009585;   0,009585
Threat Score;   0,825962;   0,965383;   0,628256;   0,884800;   0,887724;   0,972524;   0,978056;   0,978056
F1 Score;   0,904687;   0,982387;   0,771692;   0,938879;   0,940523;   0,986071;   0,988906;   0,988906
Bookmaker Informedness;   0,798000;   0,964444;   0,625778;   0,882444;   0,876222;   0,972444;   0,977778;   0,977778
Markedness;   0,809528;   0,964781;   0,719484;   0,887662;   0,882025;   0,972906;   0,977787;   0,977787
Gini Index;   0,948047;   0,997256;   0,946550;   0,985605;   0,979642;   0,999255;   0,999163;   0,999163
Cost; 909,000000; 160,000000;1684,000000; 529,000000; 557,000000; 124,000000; 100,000000; 100,000000
