V1;V2;filepath
8,604249e-01;1,395751e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1.jpg
7,872053e-01;2,127947e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat10.jpg
9,998820e-01;1,180383e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat100.jpg
9,992203e-01;7,797825e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1000.jpg
9,983237e-01;1,676237e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1001.jpg
9,998451e-01;1,547796e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1002.jpg
9,998467e-01;1,532283e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1003.jpg
9,999889e-01;1,102949e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1004.jpg
9,968355e-01;3,164547e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1005.jpg
4,393702e-01;5,606298e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1006.jpg
1,000000e+00;6,662108e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1007.jpg
9,998394e-01;1,605441e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1008.jpg
9,842361e-01;1,576384e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1009.jpg
8,573683e-01;1,426317e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat101.jpg
9,998429e-01;1,571037e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1010.jpg
9,999713e-01;2,868191e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1011.jpg
9,122029e-01;8,779708e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1012.jpg
9,998087e-01;1,912421e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1013.jpg
8,173571e-01;1,826429e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1014.jpg
9,942083e-01;5,791635e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1015.jpg
