files;actual_class;prediction;cutoff;predicted_class
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1.jpg;0;1,395751e-01;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat10.jpg;0;2,127947e-01;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat100.jpg;0;1,180383e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1000.jpg;0;7,797825e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1001.jpg;0;1,676237e-03;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1002.jpg;0;1,547796e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1003.jpg;0;1,532283e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1004.jpg;0;1,102949e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1005.jpg;0;3,164547e-03;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1006.jpg;0;5,606298e-01;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1007.jpg;0;6,662108e-09;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1008.jpg;0;1,605441e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1009.jpg;0;1,576384e-02;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat101.jpg;0;1,426317e-01;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1010.jpg;0;1,571037e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1011.jpg;0;2,868191e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1012.jpg;0;8,779708e-02;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1013.jpg;0;1,912421e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1014.jpg;0;1,826429e-01;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1015.jpg;0;5,791635e-03;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1016.jpg;0;1,778613e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1017.jpg;0;4,267974e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1018.jpg;0;3,363770e-03;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1019.jpg;0;1,687526e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat102.jpg;0;1,970458e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1020.jpg;0;1,471570e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1021.jpg;0;2,455591e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1022.jpg;0;9,698787e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1023.jpg;0;3,580181e-05;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1024.jpg;0;3,271274e-03;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1025.jpg;0;5,067632e-04;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1026.jpg;0;1,987147e-01;0,5;0
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1027.jpg;0;3,023403e-03;0,5;0
