Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4039,000000;1337,000000; 441,000000;0,5
False Positive; 461,000000; 163,000000;  59,000000;0,5
False Negative;  96,000000;  43,000000;  16,000000;0,5
True Positive;4404,000000;1457,000000; 484,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,938111;   0,931333;   0,925000;0,5
Balanced Accuracy;   0,938111;   0,931333;   0,925000;0,5
Area Under ROC Curve;   0,989821;   0,987068;   0,986120;0,5
Bias;  -1,040556;  -1,040000;  -1,043000;0,5
Classification Error;   0,061889;   0,068667;   0,075000;0,5
True Positive Rate;   0,978667;   0,971333;   0,968000;0,5
True Negative Rate;   0,897556;   0,891333;   0,882000;0,5
Positive Prediction Value;   0,905242;   0,899383;   0,891344;0,5
Negative Predictive Value;   0,976784;   0,968841;   0,964989;0,5
False Negative Rate;   0,021333;   0,028667;   0,032000;0,5
False Positive Rate;   0,102444;   0,108667;   0,118000;0,5
False Discovery Rate;   0,094758;   0,100617;   0,108656;0,5
False Omission Rate;   0,023216;   0,031159;   0,035011;0,5
Threat Score;   0,887724;   0,876127;   0,865832;0,5
F1 Score;   0,940523;   0,933974;   0,928092;0,5
Bookmaker Informedness;   0,876222;   0,862667;   0,850000;0,5
Markedness;   0,882025;   0,868223;   0,856333;0,5
Gini Index;   0,979642;   0,974136;   0,972240;0,5
Cost; 557,000000; 206,000000;  75,000000;0,5
