V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;filepath;actual_class;model
2,008603e-01;4,963821e-02;2,210477e-01;1,656866e-01;1,953989e-04;1,653320e-01;6,828867e-03;1,868738e-02;1,207877e-01;5,093579e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0001.png; 1;Inception_ResNet_V2
3,227224e-01;6,982770e-02;5,034044e-01;3,307706e-03;1,993682e-04;8,169780e-03;1,651456e-02;3,383812e-03;6,989904e-02;2,571248e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0002.png; 1;Inception_ResNet_V2
8,198907e-01;1,133998e-02;1,175705e-01;2,428905e-03;9,368803e-03;1,758677e-03;2,019559e-02;1,503012e-02;1,840580e-03;5,760646e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0003.png; 1;Inception_ResNet_V2
1,840801e-02;3,154175e-02;2,345582e-03;1,845635e-02;6,015932e-05;8,522798e-01;2,183888e-02;6,039516e-03;6,748247e-03;4,228164e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0004.png; 1;Inception_ResNet_V2
9,099377e-01;9,252676e-04;3,277347e-02;3,779487e-03;3,920121e-03;1,025312e-03;7,705021e-04;4,476216e-03;4,184468e-02;5,473803e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0005.png; 1;Inception_ResNet_V2
8,000176e-01;1,152056e-01;1,271637e-02;1,701496e-03;1,025867e-02;2,066920e-03;2,003731e-03;1,141034e-02;2,563423e-02;1,898494e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0006.png; 1;Inception_ResNet_V2
3,593885e-01;5,026143e-02;3,303624e-03;2,709285e-02;2,084456e-04;5,883880e-03;4,562530e-03;2,690721e-03;2,258276e-01;3,207804e-01;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0007.png; 1;Inception_ResNet_V2
3,633465e-01;1,554366e-01;1,264909e-01;3,155300e-02;6,374215e-03;5,396480e-03;4,037052e-02;5,722038e-03;2,596861e-01;5,623524e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0008.png; 1;Inception_ResNet_V2
3,224565e-01;4,548958e-03;9,823358e-02;1,712529e-02;1,144291e-02;2,226554e-02;2,042575e-02;2,585321e-03;4,955921e-01;5,324045e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0009.png; 1;Inception_ResNet_V2
1,278287e-01;4,563779e-01;6,516447e-02;3,195694e-03;3,784036e-03;1,150636e-02;1,697511e-01;3,925363e-03;1,394191e-01;1,904727e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0010.png; 1;Inception_ResNet_V2
