Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;  0,000000;  0,000000;0,360934
True Negative;4408,000000;1449,000000; 487,000000;4291,000000;1400,000000; 473,000000;-117,000000;-49,000000;-14,000000;0,360934
False Positive;  92,000000;  51,000000;  13,000000; 209,000000; 100,000000;  27,000000; 117,000000; 49,000000; 14,000000;0,360934
False Negative; 437,000000; 182,000000;  46,000000; 185,000000;  91,000000;  21,000000;-252,000000;-91,000000;-25,000000;0,360934
True Positive;4063,000000;1318,000000; 454,000000;4315,000000;1409,000000; 479,000000; 252,000000; 91,000000; 25,000000;0,360934
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,360934
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,360934
Accuracy;   0,941222;   0,922333;   0,941000;   0,956222;   0,936333;   0,952000;   0,015000;  0,014000;  0,011000;0,360934
Balanced Accuracy;   0,941222;   0,922333;   0,941000;   0,956222;   0,936333;   0,952000;   0,015000;  0,014000;  0,011000;0,360934
Area Under ROC Curve;   0,992803;   0,985703;   0,992272;   0,992803;   0,985703;   0,992272;   0,000000;  0,000000;  0,000000;0,360934
Bias;  -0,961667;  -0,956333;  -0,967000;  -1,002667;  -1,003000;  -1,006000;  -0,041000; -0,046667; -0,039000;0,360934
Classification Error;   0,058778;   0,077667;   0,059000;   0,043778;   0,063667;   0,048000;  -0,015000; -0,014000; -0,011000;0,360934
True Positive Rate;   0,902889;   0,878667;   0,908000;   0,958889;   0,939333;   0,958000;   0,056000;  0,060666;  0,050000;0,360934
True Negative Rate;   0,979556;   0,966000;   0,974000;   0,953556;   0,933333;   0,946000;  -0,026000; -0,032667; -0,028000;0,360934
Positive Prediction Value;   0,977858;   0,962747;   0,972163;   0,953802;   0,933731;   0,946640;  -0,024056; -0,029016; -0,025523;0,360934
Negative Predictive Value;   0,909804;   0,888412;   0,913696;   0,958668;   0,938967;   0,957490;   0,048864;  0,050555;  0,043794;0,360934
False Negative Rate;   0,097111;   0,121333;   0,092000;   0,041111;   0,060667;   0,042000;  -0,056000; -0,060666; -0,050000;0,360934
False Positive Rate;   0,020444;   0,034000;   0,026000;   0,046444;   0,066667;   0,054000;   0,026000;  0,032667;  0,028000;0,360934
False Discovery Rate;   0,022142;   0,037253;   0,027837;   0,046198;   0,066269;   0,053360;   0,024056;  0,029016;  0,025523;0,360934
False Omission Rate;   0,090196;   0,111588;   0,086304;   0,041332;   0,061033;   0,042510;  -0,048864; -0,050555; -0,043794;0,360934
Threat Score;   0,884800;   0,849774;   0,884990;   0,916330;   0,880625;   0,908918;   0,031530;  0,030851;  0,023928;0,360934
F1 Score;   0,938879;   0,918787;   0,938987;   0,956339;   0,936524;   0,952286;   0,017460;  0,017737;  0,013299;0,360934
Bookmaker Informedness;   0,882444;   0,844667;   0,882000;   0,912444;   0,872667;   0,904000;   0,030000;  0,028000;  0,022000;0,360934
Markedness;   0,887662;   0,851159;   0,885859;   0,912470;   0,872698;   0,904130;   0,024808;  0,021539;  0,018271;0,360934
Gini Index;   0,985605;   0,971405;   0,984544;   0,985605;   0,971405;   0,984544;   0,000000;  0,000000;  0,000000;0,360934
Cost; 529,000000; 233,000000;  59,000000; 394,000000; 191,000000;  48,000000;-135,000000;-42,000000;-11,000000;0,360934
