V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;filepath;actual_class;model
3,487267e-01;3,056998e-02;5,649730e-01;1,776014e-02;1,638396e-03;3,865375e-03;2,433364e-03;2,532924e-02;4,174022e-03;5,296784e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0001.png; 1;Inception_V3
8,926861e-01;9,847131e-04;9,092819e-02;2,545358e-04;9,484003e-04;3,768115e-05;4,074040e-03;2,459422e-04;9,773226e-03;6,721448e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0002.png; 1;Inception_V3
4,351813e-01;2,167201e-03;5,117131e-01;7,934078e-04;3,665313e-02;4,861313e-04;2,196650e-03;1,055059e-02;1,883612e-04;7,007962e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0003.png; 1;Inception_V3
7,558302e-01;1,087629e-01;3,570338e-02;9,340483e-04;1,661988e-03;6,587663e-04;9,097887e-04;9,500193e-02;6,328545e-05;4,737475e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0004.png; 1;Inception_V3
9,537026e-01;1,811376e-04;4,165483e-02;1,270323e-04;1,589252e-03;2,428894e-05;6,331728e-04;4,150356e-05;2,025970e-03;2,019834e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0005.png; 1;Inception_V3
9,506455e-01;3,743835e-03;2,658676e-02;5,772032e-04;1,031597e-02;2,121499e-04;9,130208e-05;5,092815e-03;2,432187e-03;3,022107e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0006.png; 1;Inception_V3
1,872705e-01;6,631781e-01;6,511221e-02;1,567842e-02;4,894114e-03;4,466332e-03;4,655843e-03;4,656914e-03;2,799460e-02;2,209300e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0007.png; 1;Inception_V3
6,183429e-01;3,284587e-02;2,846021e-01;4,667446e-03;2,133939e-02;9,186814e-04;1,506708e-02;4,608618e-03;1,673955e-02;8,682784e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0008.png; 1;Inception_V3
2,116438e-01;2,601634e-02;1,021645e-02;5,041321e-03;1,122748e-02;9,807308e-04;2,001573e-04;7,263197e-01;4,314433e-03;4,039668e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0009.png; 1;Inception_V3
7,029808e-01;4,179034e-03;2,216826e-01;3,401585e-03;5,212813e-02;1,247522e-03;1,885395e-03;9,406029e-03;2,275502e-03;8,133411e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0010.png; 1;Inception_V3
2,176225e-01;3,825581e-01;7,017553e-02;4,194528e-03;1,351279e-02;1,202127e-02;1,839977e-03;2,936327e-01;2,338155e-04;4,208794e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0011.png; 1;Inception_V3
5,564289e-01;2,143112e-01;4,574222e-02;1,803524e-02;2,023017e-02;3,374122e-03;3,247517e-03;4,801637e-02;2,862596e-02;6,198822e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0012.png; 1;Inception_V3
4,077829e-02;1,964314e-02;1,336583e-02;9,809373e-03;9,794352e-03;4,010108e-02;4,811771e-04;8,492901e-01;7,823869e-04;1,595428e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0013.png; 1;Inception_V3
9,380601e-01;1,387834e-02;3,540828e-02;1,497073e-03;1,422475e-03;3,736642e-04;9,099453e-04;1,961701e-03;5,882598e-03;6,058826e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0014.png; 1;Inception_V3
5,663478e-01;4,820031e-02;8,939687e-02;4,229398e-03;2,187831e-02;1,380414e-03;5,667306e-04;2,655582e-01;1,103058e-03;1,338954e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0015.png; 1;Inception_V3
1,025772e-01;2,938591e-03;3,902189e-03;6,035298e-04;9,312586e-03;1,466659e-04;2,257800e-05;8,802227e-01;5,919993e-05;2,146720e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0016.png; 1;Inception_V3
1,587039e-01;2,696873e-03;4,357727e-01;2,326052e-02;2,473230e-01;1,226179e-02;4,904250e-03;1,077170e-01;4,500255e-03;2,859708e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0017.png; 1;Inception_V3
2,056912e-01;4,387492e-01;8,899546e-02;8,995932e-03;1,887907e-02;1,312915e-02;2,376487e-03;2,181700e-01;2,459118e-03;2,554317e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0018.png; 1;Inception_V3
2,827727e-01;8,538660e-02;1,531857e-01;1,527193e-02;8,261943e-02;4,498016e-03;2,581250e-03;3,644250e-01;5,150544e-03;4,108860e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0019.png; 1;Inception_V3
4,765736e-01;5,328230e-02;1,359377e-01;6,138011e-03;5,604903e-02;2,831386e-03;7,349587e-04;2,637917e-01;2,573362e-03;2,087939e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0020.png; 1;Inception_V3
9,079798e-01;2,520837e-02;4,138934e-02;7,846680e-04;1,153144e-03;3,665406e-04;5,099776e-04;2,223899e-02;2,471440e-04;1,221049e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0021.png; 1;Inception_V3
3,918524e-02;2,784734e-04;6,228301e-03;6,832870e-04;1,599274e-02;3,238849e-04;1,756443e-05;9,366522e-01;5,591895e-05;5,824760e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0022.png; 1;Inception_V3
5,948203e-01;3,405138e-02;1,967313e-01;2,676082e-03;1,425229e-02;1,786896e-03;1,224682e-01;1,258460e-03;3,059916e-02;1,355961e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0023.png; 1;Inception_V3
1,965705e-01;5,728674e-02;4,595827e-01;2,448516e-03;4,020784e-03;3,256838e-03;6,141156e-03;2,682537e-01;4,421987e-04;1,996878e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0024.png; 1;Inception_V3
4,674076e-01;2,322564e-02;1,259307e-01;5,574211e-02;1,505724e-01;1,203117e-02;2,073706e-03;4,530010e-02;1,114608e-01;6,255779e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0025.png; 1;Inception_V3
5,453601e-01;2,778553e-01;9,661980e-02;6,273257e-03;3,981373e-02;2,090815e-03;2,868552e-03;2,287848e-02;3,088016e-03;3,151881e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0026.png; 1;Inception_V3
1,342123e-01;4,629163e-02;1,622776e-02;2,252451e-03;6,878780e-03;4,576380e-04;2,698133e-04;7,922353e-01;2,813922e-04;8,928981e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0027.png; 1;Inception_V3
2,721558e-01;5,093998e-02;7,038488e-03;2,138067e-03;2,445110e-02;6,902128e-04;1,771902e-04;6,403278e-01;3,807261e-04;1,700613e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0028.png; 1;Inception_V3
1,382603e-01;1,447659e-04;7,233981e-03;3,480088e-04;7,299271e-03;1,310881e-04;1,101089e-05;8,465233e-01;8,810145e-06;3,952958e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0029.png; 1;Inception_V3
1,187757e-02;3,168368e-05;1,644369e-03;3,304114e-04;2,863942e-02;7,923056e-05;7,293533e-06;9,573625e-01;5,894132e-06;2,163458e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0030.png; 1;Inception_V3
6,597577e-01;1,266959e-01;1,265259e-01;7,309271e-03;8,406680e-03;1,635982e-03;6,329054e-03;1,571646e-02;4,440666e-02;3,216392e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0031.png; 1;Inception_V3
5,372318e-01;1,087421e-02;1,245913e-01;3,928330e-03;2,651541e-02;1,249706e-03;2,127558e-03;2,922446e-01;4,091854e-04;8,279406e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0032.png; 1;Inception_V3
8,411831e-01;1,241898e-02;4,993198e-02;4,707180e-03;1,698988e-02;1,552469e-03;5,018167e-04;7,046640e-02;1,762975e-03;4,852386e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0033.png; 1;Inception_V3
8,431025e-01;2,497234e-02;1,562971e-02;2,701982e-03;2,587121e-02;5,875464e-04;8,169949e-04;8,353623e-02;9,057753e-04;1,875738e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0034.png; 1;Inception_V3
8,838074e-02;4,058467e-03;6,846955e-01;2,929081e-02;4,374566e-02;2,375384e-02;1,492357e-03;1,183430e-01;3,470850e-03;2,768724e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0035.png; 1;Inception_V3
2,106436e-01;5,378253e-01;9,832754e-02;1,874964e-02;1,074857e-02;2,920482e-03;5,594056e-03;6,664503e-03;8,262316e-02;2,590305e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0036.png; 1;Inception_V3
2,451713e-01;5,955088e-01;2,885270e-02;2,501503e-03;1,204224e-03;2,380921e-03;1,664683e-04;1,236660e-01;9,217553e-05;4,558427e-04;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0037.png; 1;Inception_V3
4,389051e-01;4,405563e-01;3,489821e-02;8,665808e-03;1,670906e-02;4,537420e-03;1,101929e-03;3,389020e-02;9,772652e-03;1,096326e-02;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0038.png; 1;Inception_V3
1,841234e-01;4,283066e-01;2,052912e-02;4,851993e-03;2,406619e-02;1,774387e-03;2,639484e-03;3,277055e-01;4,625980e-04;5,540797e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0039.png; 1;Inception_V3
6,869859e-01;2,253426e-01;2,601858e-02;1,718809e-03;9,339865e-04;8,755561e-04;2,541862e-03;5,306801e-02;5,982658e-04;1,916447e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0040.png; 1;Inception_V3
5,951080e-01;4,235769e-03;2,711488e-01;1,140987e-02;5,683813e-02;1,876992e-03;1,148518e-03;1,839364e-02;3,814224e-02;1,697976e-03;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0041.png; 1;Inception_V3
