files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0001.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0003.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0007.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0009.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0011.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0013.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0016.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0017.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0018.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0019.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0022.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0024.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0027.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0028.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0029.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0030.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0035.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0036.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0037.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0038.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0039.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0043.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0046.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0049.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0052.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0053.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0055.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0059.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0063.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0065.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0068.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0070.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0071.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0075.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0076.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0077.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0081.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0082.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0085.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0089.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0093.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0097.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0107.png; 1; 8
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0108.png; 1; 3
