files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/train/airplane/0001.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0002.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0003.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0005.png; 1; 6
D:/GitHub/Datasets/Cifar10/train/airplane/0007.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0011.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0013.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0019.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0020.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0022.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0023.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0024.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0026.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0027.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0029.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0030.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0031.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0032.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0035.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0036.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0041.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0043.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0046.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0049.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0050.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0054.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0055.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0057.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0061.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0063.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0065.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0067.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0068.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0069.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0073.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0074.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0076.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0077.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0078.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0079.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0081.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0084.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0086.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0087.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0089.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0090.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0093.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0096.png; 1; 7
D:/GitHub/Datasets/Cifar10/train/airplane/0097.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0100.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0102.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0106.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0108.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0114.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0115.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0116.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0122.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0126.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0133.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0135.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0140.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0141.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0143.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0144.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0148.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0151.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0154.png; 1;10
D:/GitHub/Datasets/Cifar10/train/airplane/0155.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0156.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0157.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0158.png; 1; 3
D:/GitHub/Datasets/Cifar10/train/airplane/0159.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0161.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0162.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0163.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0164.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0165.png; 1; 2
D:/GitHub/Datasets/Cifar10/train/airplane/0169.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0171.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0172.png; 1; 4
D:/GitHub/Datasets/Cifar10/train/airplane/0174.png; 1; 2
