V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;filepath;actual_class;model
5,024127e-03;9,949756e-01;1,564042e-07;1,674078e-08;1,547376e-14;1,069455e-10;1,631055e-08;1,391201e-08;2,254955e-10;1,862801e-07;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0001.png; 1;MobileNet_V2
5,439044e-01;4,560943e-01;2,674278e-07;6,994337e-08;1,059918e-12;1,317185e-09;8,447276e-07;5,250681e-08;2,087871e-08;5,818984e-08;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0002.png; 1;MobileNet_V2
9,975768e-01;2,421941e-03;1,023018e-10;1,262351e-10;2,692357e-16;1,561002e-14;4,593582e-11;1,430770e-09;3,567394e-11;1,360908e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0003.png; 1;MobileNet_V2
8,863955e-01;1,134474e-01;1,502679e-07;2,255159e-08;6,131912e-12;8,796108e-10;2,831067e-10;1,051432e-04;3,688495e-10;5,183144e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0004.png; 1;MobileNet_V2
9,679648e-01;3,203489e-02;8,785539e-09;2,103991e-08;2,410522e-15;3,986721e-12;1,109614e-08;1,196852e-09;7,615961e-10;2,894946e-07;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0005.png; 1;MobileNet_V2
9,994860e-01;5,131831e-04;2,270512e-09;1,472814e-09;2,360335e-15;6,417899e-13;2,930032e-11;5,289498e-10;1,696737e-10;8,610463e-07;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0006.png; 1;MobileNet_V2
4,969208e-02;9,503049e-01;3,823314e-07;1,181749e-08;3,701349e-13;3,006013e-10;5,225370e-08;1,887407e-07;2,292585e-09;2,471663e-06;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0007.png; 1;MobileNet_V2
1,621394e-01;8,378179e-01;4,174352e-10;3,205721e-09;1,199390e-16;4,509992e-12;1,042955e-09;3,013900e-08;2,658017e-12;4,274798e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0008.png; 1;MobileNet_V2
9,987494e-01;1,250455e-03;6,486176e-10;8,679894e-10;1,340089e-15;4,795001e-14;1,060273e-09;2,002055e-10;1,154811e-10;1,192109e-07;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0009.png; 1;MobileNet_V2
1,159274e-02;9,883149e-01;9,411139e-09;5,842395e-09;1,032996e-13;2,190662e-11;6,674974e-09;2,384294e-08;1,417491e-09;9,237302e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0010.png; 1;MobileNet_V2
9,317092e-01;6,820870e-02;2,374531e-09;2,140735e-08;9,512278e-16;2,496261e-12;1,034155e-07;2,570450e-09;3,024272e-10;8,207051e-05;D:\GitHub\Datasets\Cifar10\train\airplane\airplane_0011.png; 1;MobileNet_V2
