Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;3737,000000;1239,000000; 405,000000;0,5
False Positive; 763,000000; 261,000000;  95,000000;0,5
False Negative; 482,000000; 157,000000;  57,000000;0,5
True Positive;4018,000000;1343,000000; 443,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,861667;   0,860667;   0,848000;0,5
Balanced Accuracy;   0,861667;   0,860667;   0,848000;0,5
Area Under ROC Curve;   0,944850;   0,940556;   0,938220;0,5
Bias;  -1,031222;  -1,034667;  -1,038000;0,5
Classification Error;   0,138333;   0,139333;   0,152000;0,5
True Positive Rate;   0,892889;   0,895333;   0,886000;0,5
True Negative Rate;   0,830444;   0,826000;   0,810000;0,5
Positive Prediction Value;   0,840410;   0,837282;   0,823420;0,5
Negative Predictive Value;   0,885755;   0,887536;   0,876623;0,5
False Negative Rate;   0,107111;   0,104667;   0,114000;0,5
False Positive Rate;   0,169556;   0,174000;   0,190000;0,5
False Discovery Rate;   0,159590;   0,162718;   0,176580;0,5
False Omission Rate;   0,114245;   0,112464;   0,123377;0,5
Threat Score;   0,763443;   0,762635;   0,744538;0,5
F1 Score;   0,865855;   0,865335;   0,853565;0,5
Bookmaker Informedness;   0,723333;   0,721333;   0,696000;0,5
Markedness;   0,726165;   0,724818;   0,700043;0,5
Gini Index;   0,889700;   0,881112;   0,876440;0,5
Cost;1245,000000; 418,000000; 152,000000;0,5
