V1;V2;filepath;actual_class;model
9,999930e-01;7,003952e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1.jpg;0;NASNetMobile
1,000000e+00;8,847257e-22;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat10.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat100.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1000.jpg;0;NASNetMobile
1,000000e+00;3,490507e-35;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1001.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1002.jpg;0;NASNetMobile
1,000000e+00;4,403949e-38;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1003.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1004.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1005.jpg;0;NASNetMobile
9,965022e-01;3,497815e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1006.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1007.jpg;0;NASNetMobile
1,000000e+00;6,374598e-16;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1008.jpg;0;NASNetMobile
9,996345e-01;3,655248e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1009.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat101.jpg;0;NASNetMobile
9,571824e-01;4,281754e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1010.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1011.jpg;0;NASNetMobile
1,000000e+00;5,566317e-12;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1012.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1013.jpg;0;NASNetMobile
9,998901e-01;1,099312e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1014.jpg;0;NASNetMobile
9,999996e-01;3,319888e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1015.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1016.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1017.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1018.jpg;0;NASNetMobile
9,999690e-01;3,095208e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1019.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat102.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1020.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1021.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1022.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1023.jpg;0;NASNetMobile
9,989328e-01;1,067248e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1024.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1025.jpg;0;NASNetMobile
1,000000e+00;9,903733e-22;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1026.jpg;0;NASNetMobile
2,755966e-01;7,244034e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1027.jpg;0;NASNetMobile
1,000000e+00;5,528353e-27;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1028.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1029.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat103.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1030.jpg;0;NASNetMobile
1,000000e+00;4,032334e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1031.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1032.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1033.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1034.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1035.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1036.jpg;0;NASNetMobile
1,000000e+00;6,604374e-10;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1037.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1038.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1039.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat104.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1040.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1041.jpg;0;NASNetMobile
9,913781e-01;8,621879e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1042.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1043.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1044.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1045.jpg;0;NASNetMobile
2,525657e-09;1,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1046.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1047.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1048.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1049.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat105.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1050.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1051.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1052.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1053.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1054.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1055.jpg;0;NASNetMobile
1,078045e-03;9,989220e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1056.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1057.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1058.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1059.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat106.jpg;0;NASNetMobile
9,977542e-01;2,245879e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1060.jpg;0;NASNetMobile
1,000000e+00;3,504660e-22;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1061.jpg;0;NASNetMobile
9,949856e-01;5,014422e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1062.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1063.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1064.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1065.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1066.jpg;0;NASNetMobile
1,000000e+00;2,796075e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1067.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1068.jpg;0;NASNetMobile
1,000000e+00;2,603220e-30;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1069.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat107.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1070.jpg;0;NASNetMobile
1,000000e+00;1,050943e-27;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1071.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1072.jpg;0;NASNetMobile
1,000000e+00;2,301554e-21;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1073.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1074.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1075.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1076.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1077.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1078.jpg;0;NASNetMobile
8,731553e-01;1,268447e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1079.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat108.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1080.jpg;0;NASNetMobile
1,000000e+00;1,055843e-17;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1081.jpg;0;NASNetMobile
9,935585e-01;6,441568e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1082.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1083.jpg;0;NASNetMobile
9,950526e-01;4,947376e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1084.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1085.jpg;0;NASNetMobile
1,000000e+00;3,831804e-27;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1086.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1087.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1088.jpg;0;NASNetMobile
9,996724e-01;3,275768e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1089.jpg;0;NASNetMobile
1,000000e+00;1,252391e-17;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat109.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1090.jpg;0;NASNetMobile
1,000000e+00;3,271342e-14;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1091.jpg;0;NASNetMobile
9,772768e-01;2,272322e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1092.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1093.jpg;0;NASNetMobile
1,000000e+00;1,866307e-16;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1094.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1095.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1096.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1097.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1098.jpg;0;NASNetMobile
1,000000e+00;1,414111e-21;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1099.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat11.jpg;0;NASNetMobile
1,000000e+00;1,368555e-22;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat110.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1100.jpg;0;NASNetMobile
1,000000e+00;0,000000e+00;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1101.jpg;0;NASNetMobile
1,000000e+00;1,389741e-21;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1102.jpg;0;NASNetMobile
1,000000e+00;1,994590e-35;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1103.jpg;0;NASNetMobile
