Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,03083826
True Negative;4255,000000;1408,000000; 471,000000;0,03083826
False Positive; 245,000000;  92,000000;  29,000000;0,03083826
False Negative; 578,000000; 218,000000;  59,000000;0,03083826
True Positive;3922,000000;1282,000000; 441,000000;0,03083826
Condition Negative;4500,000000;1500,000000; 500,000000;0,03083826
Condition Positive;4500,000000;1500,000000; 500,000000;0,03083826
Accuracy;   0,908556;   0,896667;   0,912000;0,03083826
Balanced Accuracy;   0,908556;   0,896667;   0,912000;0,03083826
Area Under ROC Curve;   0,974293;   0,967716;   0,973096;0,03083826
Bias;  -0,963000;  -0,958000;  -0,970000;0,03083826
Classification Error;   0,091444;   0,103333;   0,088000;0,03083826
True Positive Rate;   0,871556;   0,854667;   0,882000;0,03083826
True Negative Rate;   0,945556;   0,938667;   0,942000;0,03083826
Positive Prediction Value;   0,941205;   0,933042;   0,938298;0,03083826
Negative Predictive Value;   0,880406;   0,865929;   0,888679;0,03083826
False Negative Rate;   0,128444;   0,145333;   0,118000;0,03083826
False Positive Rate;   0,054444;   0,061333;   0,058000;0,03083826
False Discovery Rate;   0,058795;   0,066958;   0,061702;0,03083826
False Omission Rate;   0,119594;   0,134071;   0,111321;0,03083826
Threat Score;   0,826554;   0,805276;   0,833648;0,03083826
F1 Score;   0,905042;   0,892136;   0,909278;0,03083826
Bookmaker Informedness;   0,817111;   0,793333;   0,824000;0,03083826
Markedness;   0,821610;   0,798971;   0,826977;0,03083826
Gini Index;   0,948586;   0,935432;   0,946192;0,03083826
Cost; 823,000000; 310,000000;  88,000000;0,03083826
