V1;V2;filepath
9,451950e-01;5,480504e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1.jpg
9,238900e-01;7,611003e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat10.jpg
9,999368e-01;6,321437e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat100.jpg
8,669608e-01;1,330392e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1000.jpg
8,897642e-01;1,102358e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1001.jpg
8,620971e-01;1,379028e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1002.jpg
7,175687e-01;2,824313e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1003.jpg
9,227875e-01;7,721256e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1004.jpg
8,176317e-01;1,823684e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1005.jpg
7,419973e-01;2,580027e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1006.jpg
1,000000e+00;2,685163e-19;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1007.jpg
9,941502e-01;5,849819e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1008.jpg
5,746135e-01;4,253866e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1009.jpg
9,983724e-01;1,627709e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat101.jpg
9,529795e-01;4,702049e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1010.jpg
9,999875e-01;1,249957e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1011.jpg
8,922088e-01;1,077912e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1012.jpg
9,992004e-01;7,996176e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1013.jpg
8,114480e-01;1,885520e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1014.jpg
9,223377e-01;7,766234e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1015.jpg
1,000000e+00;7,671355e-10;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1016.jpg
9,338735e-01;6,612648e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1017.jpg
8,516744e-01;1,483256e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1018.jpg
8,457204e-01;1,542796e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1019.jpg
8,012021e-01;1,987980e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat102.jpg
9,972921e-01;2,707853e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1020.jpg
9,999998e-01;2,147618e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1021.jpg
8,596090e-01;1,403910e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1022.jpg
9,999974e-01;2,653323e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1023.jpg
8,913144e-01;1,086857e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1024.jpg
9,999986e-01;1,380540e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1025.jpg
6,503115e-01;3,496884e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1026.jpg
9,194931e-01;8,050694e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1027.jpg
9,116904e-01;8,830959e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1028.jpg
1,000000e+00;1,227370e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1029.jpg
8,787629e-01;1,212371e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat103.jpg
1,000000e+00;2,603950e-11;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1030.jpg
9,996281e-01;3,719353e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1031.jpg
9,999996e-01;4,036673e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1032.jpg
1,000000e+00;2,928097e-14;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1033.jpg
9,998047e-01;1,953086e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1034.jpg
9,999682e-01;3,187092e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1035.jpg
1,000000e+00;8,314343e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1036.jpg
7,556157e-01;2,443843e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1037.jpg
9,992576e-01;7,423625e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1038.jpg
9,916762e-01;8,323725e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1039.jpg
8,786261e-01;1,213739e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat104.jpg
1,000000e+00;4,164600e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1040.jpg
1,000000e+00;2,731173e-13;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1041.jpg
8,033165e-01;1,966835e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1042.jpg
3,838874e-01;6,161126e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1043.jpg
9,221056e-01;7,789446e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1044.jpg
9,999157e-01;8,423571e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1045.jpg
9,968153e-01;3,184749e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1046.jpg
9,999993e-01;7,545496e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1047.jpg
9,481940e-01;5,180596e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1048.jpg
9,998168e-01;1,831476e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1049.jpg
9,044780e-01;9,552206e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat105.jpg
1,000000e+00;5,836166e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1050.jpg
8,293574e-01;1,706426e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1051.jpg
9,402274e-01;5,977266e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1052.jpg
9,999835e-01;1,649602e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1053.jpg
9,999999e-01;6,336705e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1054.jpg
9,999995e-01;5,219536e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1055.jpg
1,000000e+00;4,282832e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1056.jpg
9,997525e-01;2,475244e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1057.jpg
9,999745e-01;2,547031e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1058.jpg
9,860958e-01;1,390417e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1059.jpg
8,771463e-01;1,228537e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat106.jpg
9,851784e-01;1,482164e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1060.jpg
8,810020e-01;1,189979e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1061.jpg
9,861382e-01;1,386180e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1062.jpg
9,999967e-01;3,389028e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1063.jpg
9,999992e-01;8,675622e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1064.jpg
9,770663e-01;2,293361e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1065.jpg
8,637526e-01;1,362474e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1066.jpg
1,157378e-02;9,884262e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1067.jpg
1,000000e+00;3,125190e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1068.jpg
9,220585e-01;7,794150e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1069.jpg
9,999981e-01;1,910503e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat107.jpg
9,999027e-01;9,727797e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1070.jpg
8,936094e-01;1,063906e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1071.jpg
9,989855e-01;1,014471e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1072.jpg
9,657785e-01;3,422153e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1073.jpg
9,999987e-01;1,343126e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1074.jpg
9,367577e-01;6,324233e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1075.jpg
8,964356e-01;1,035644e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1076.jpg
9,982623e-01;1,737670e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1077.jpg
9,999996e-01;3,260358e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1078.jpg
9,913597e-01;8,640272e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1079.jpg
9,560346e-01;4,396537e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat108.jpg
8,835880e-01;1,164120e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1080.jpg
4,946653e-01;5,053347e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1081.jpg
9,318615e-01;6,813845e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1082.jpg
9,997008e-01;2,992660e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1083.jpg
9,132098e-01;8,679026e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1084.jpg
9,999998e-01;2,317326e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1085.jpg
9,476569e-01;5,234312e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1086.jpg
6,988853e-01;3,011146e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1087.jpg
9,835687e-01;1,643121e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1088.jpg
9,999505e-01;4,942509e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1089.jpg
8,637331e-01;1,362669e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat109.jpg
9,199271e-01;8,007292e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1090.jpg
9,173284e-01;8,267158e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1091.jpg
8,296024e-01;1,703975e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1092.jpg
1,000000e+00;3,900880e-15;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1093.jpg
9,939161e-01;6,083955e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1094.jpg
9,536429e-01;4,635708e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1095.jpg
9,998791e-01;1,209114e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1096.jpg
9,999999e-01;1,387132e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1097.jpg
9,816616e-01;1,833848e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1098.jpg
8,013166e-01;1,986834e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1099.jpg
9,437954e-01;5,620462e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat11.jpg
9,916916e-01;8,308476e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat110.jpg
9,997467e-01;2,532167e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1100.jpg
1,000000e+00;4,539042e-12;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1101.jpg
5,438820e-01;4,561180e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1102.jpg
8,282792e-01;1,717208e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1103.jpg
9,999942e-01;5,832121e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1104.jpg
1,000000e+00;4,265117e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1105.jpg
9,022902e-01;9,770981e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1106.jpg
9,999930e-01;7,009210e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1107.jpg
9,044744e-01;9,552569e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1108.jpg
9,985690e-01;1,430965e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1109.jpg
8,940653e-01;1,059347e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat111.jpg
9,995240e-01;4,759747e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1110.jpg
8,684910e-01;1,315090e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1111.jpg
8,241075e-01;1,758925e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1112.jpg
8,711991e-01;1,288009e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1113.jpg
9,838871e-01;1,611287e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1114.jpg
9,975037e-01;2,496321e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1115.jpg
9,685398e-01;3,146010e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1116.jpg
1,000000e+00;3,936026e-13;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1117.jpg
9,932712e-01;6,728857e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1118.jpg
9,999937e-01;6,362474e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1119.jpg
9,984602e-01;1,539788e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat112.jpg
9,042306e-01;9,576940e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1120.jpg
9,757824e-01;2,421760e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1121.jpg
9,762201e-01;2,377983e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1122.jpg
9,999506e-01;4,936466e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1123.jpg
8,186262e-01;1,813738e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1124.jpg
6,702349e-01;3,297651e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1125.jpg
8,793260e-01;1,206740e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1126.jpg
1,087290e-01;8,912710e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1127.jpg
8,635186e-01;1,364814e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1128.jpg
9,546341e-01;4,536598e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1129.jpg
1,000000e+00;5,272426e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat113.jpg
9,998406e-01;1,593694e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1130.jpg
7,754118e-01;2,245881e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1131.jpg
7,279348e-01;2,720652e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1132.jpg
9,974516e-01;2,548354e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1133.jpg
8,799426e-01;1,200574e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1134.jpg
9,999526e-01;4,745556e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1135.jpg
9,976702e-01;2,329774e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1136.jpg
9,706340e-01;2,936600e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1137.jpg
9,809038e-01;1,909622e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1138.jpg
9,355080e-01;6,449211e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1139.jpg
1,000000e+00;5,833266e-10;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat114.jpg
9,114446e-01;8,855544e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1140.jpg
9,791204e-01;2,087964e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1141.jpg
8,028264e-01;1,971736e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1142.jpg
9,991707e-01;8,293932e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1143.jpg
7,477949e-01;2,522050e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1144.jpg
9,999820e-01;1,804619e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1145.jpg
9,327665e-01;6,723349e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1146.jpg
9,938320e-01;6,167975e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1147.jpg
9,164674e-01;8,353261e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1148.jpg
9,892080e-01;1,079192e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1149.jpg
8,552616e-01;1,447384e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat115.jpg
1,000000e+00;4,129984e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1150.jpg
1,000000e+00;7,286436e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1151.jpg
9,714258e-01;2,857418e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1152.jpg
9,995849e-01;4,152063e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1153.jpg
9,999437e-01;5,631252e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1154.jpg
9,410089e-01;5,899112e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1155.jpg
9,986260e-01;1,374060e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1156.jpg
1,000000e+00;5,451039e-08;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1157.jpg
8,336673e-01;1,663327e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1158.jpg
9,973012e-01;2,698843e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1159.jpg
9,992899e-01;7,101602e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat116.jpg
4,251045e-01;5,748955e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1160.jpg
9,999987e-01;1,321738e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1161.jpg
9,469084e-01;5,309166e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1162.jpg
6,208922e-01;3,791078e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1163.jpg
9,639257e-01;3,607427e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1164.jpg
9,455117e-01;5,448826e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1165.jpg
8,957176e-01;1,042824e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1166.jpg
9,984913e-01;1,508703e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1167.jpg
8,795631e-01;1,204369e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1168.jpg
7,736837e-01;2,263162e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1169.jpg
9,999334e-01;6,666603e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat117.jpg
9,997141e-01;2,858532e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1170.jpg
9,113958e-01;8,860421e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1171.jpg
8,987845e-01;1,012156e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1172.jpg
9,150596e-01;8,494034e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1173.jpg
9,940894e-01;5,910603e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1174.jpg
9,866635e-01;1,333651e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1175.jpg
8,614773e-01;1,385227e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1176.jpg
8,350490e-01;1,649510e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1177.jpg
1,000000e+00;7,674492e-09;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1178.jpg
9,036632e-01;9,633683e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1179.jpg
9,999993e-01;6,783505e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat118.jpg
7,363213e-01;2,636787e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1180.jpg
9,779235e-01;2,207653e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1181.jpg
9,010197e-01;9,898026e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1182.jpg
9,180621e-01;8,193789e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1183.jpg
8,798399e-01;1,201602e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1184.jpg
7,385608e-01;2,614392e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1185.jpg
9,999996e-01;3,417328e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1186.jpg
8,685012e-01;1,314988e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1187.jpg
9,999995e-01;4,631534e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1188.jpg
9,576212e-01;4,237882e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1189.jpg
9,145003e-01;8,549974e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat119.jpg
6,865584e-01;3,134417e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1190.jpg
7,781509e-01;2,218492e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1191.jpg
9,999975e-01;2,512116e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1192.jpg
9,999675e-01;3,252440e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1193.jpg
9,999901e-01;9,945143e-06;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1194.jpg
9,979506e-01;2,049390e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1195.jpg
9,998587e-01;1,411982e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1196.jpg
9,713092e-01;2,869074e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1197.jpg
5,876886e-01;4,123114e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1198.jpg
8,563123e-01;1,436876e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1199.jpg
9,598253e-01;4,017469e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat12.jpg
9,106264e-01;8,937369e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat120.jpg
9,565136e-01;4,348641e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1200.jpg
9,889923e-01;1,100775e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1201.jpg
9,999998e-01;2,124131e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1202.jpg
