files;actual_class;prediction;cutoff;predicted_class
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1043.jpg;0;0,6161126494;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1067.jpg;0;0,9884262085;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1081.jpg;0;0,5053347349;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1127.jpg;0;0,8912709951;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1160.jpg;0;0,5748955011;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1222.jpg;0;0,8706208467;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1270.jpg;0;0,5503120422;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1293.jpg;0;0,8381834030;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1300.jpg;0;0,6861050725;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1333.jpg;0;0,8334550261;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1338.jpg;0;0,7990906239;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1348.jpg;0;0,5249404311;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1397.jpg;0;0,8053917289;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1408.jpg;0;0,9747480750;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1409.jpg;0;0,7326623797;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat148.jpg;0;0,6670258641;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1590.jpg;0;0,5048658848;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1651.jpg;0;0,8628413081;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1684.jpg;0;0,7093660831;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1694.jpg;0;0,7274444699;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat170.jpg;0;0,5067633986;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat172.jpg;0;0,9621416330;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1763.jpg;0;0,8711139560;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1776.jpg;0;0,5495288968;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1823.jpg;0;0,6520336866;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1832.jpg;0;0,5282571316;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1868.jpg;0;0,5067955852;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1874.jpg;0;0,6912235618;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1878.jpg;0;0,5028641224;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1980.jpg;0;0,5608813167;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1998.jpg;0;0,6945008636;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2039.jpg;0;0,5129163861;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat206.jpg;0;0,5395581126;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2076.jpg;0;0,8100615740;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat211.jpg;0;0,5396134853;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2124.jpg;0;0,8105154634;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2150.jpg;0;0,5208859444;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2159.jpg;0;0,5412684679;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2177.jpg;0;0,8141347766;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2183.jpg;0;0,5966969728;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2192.jpg;0;0,7372909784;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2213.jpg;0;0,7655526996;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2240.jpg;0;0,7192741632;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2254.jpg;0;0,6787036061;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2271.jpg;0;0,6523862481;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2321.jpg;0;0,5469159484;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat234.jpg;0;0,6057685018;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2355.jpg;0;0,5089622736;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2382.jpg;0;0,8050525188;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2395.jpg;0;0,5818449259;0,5;1
