Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,6187281
True Negative;3967,000000;1283,000000; 441,000000;0,6187281
False Positive; 533,000000; 217,000000;  59,000000;0,6187281
False Negative; 292,000000; 134,000000;  30,000000;0,6187281
True Positive;4208,000000;1366,000000; 470,000000;0,6187281
Condition Negative;4500,000000;1500,000000; 500,000000;0,6187281
Condition Positive;4500,000000;1500,000000; 500,000000;0,6187281
Accuracy;   0,908333;   0,883000;   0,911000;0,6187281
Balanced Accuracy;   0,908333;   0,883000;   0,911000;0,6187281
Area Under ROC Curve;   0,974024;   0,957740;   0,976206;0,6187281
Bias;  -1,026778;  -1,027667;  -1,029000;0,6187281
Classification Error;   0,091667;   0,117000;   0,089000;0,6187281
True Positive Rate;   0,935111;   0,910667;   0,940000;0,6187281
True Negative Rate;   0,881556;   0,855333;   0,882000;0,6187281
Positive Prediction Value;   0,887576;   0,862919;   0,888469;0,6187281
Negative Predictive Value;   0,931439;   0,905434;   0,936306;0,6187281
False Negative Rate;   0,064889;   0,089333;   0,060000;0,6187281
False Positive Rate;   0,118444;   0,144667;   0,118000;0,6187281
False Discovery Rate;   0,112424;   0,137081;   0,111531;0,6187281
False Omission Rate;   0,068561;   0,094566;   0,063694;0,6187281
Threat Score;   0,836082;   0,795574;   0,840787;0,6187281
F1 Score;   0,910724;   0,886150;   0,913508;0,6187281
Bookmaker Informedness;   0,816667;   0,766000;   0,822000;0,6187281
Markedness;   0,819016;   0,768353;   0,824775;0,6187281
Gini Index;   0,948047;   0,915479;   0,952412;0,6187281
Cost; 825,000000; 351,000000;  89,000000;0,6187281
