files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/train/airplane/0002.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0005.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0007.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0009.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0015.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0016.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0018.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0019.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0020.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0021.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0024.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0025.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0026.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0027.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0028.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0033.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0038.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0039.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0041.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0042.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0045.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0046.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0047.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0049.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0052.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0054.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0056.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0057.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0058.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0060.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0065.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0066.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0068.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0069.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0070.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0072.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0074.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0078.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0080.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0081.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0082.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0083.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0084.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0087.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0090.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0093.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0100.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0101.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0105.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0107.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0109.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0110.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0111.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0114.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0115.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0116.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0123.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0127.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0128.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0130.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0131.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0132.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0133.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0135.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0136.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0140.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0143.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0144.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0145.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0147.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0153.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0155.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0164.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0166.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0167.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0168.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0172.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0175.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0176.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0177.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0178.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0186.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0187.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0189.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0190.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0191.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0192.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0198.png; 1; 1
D:/GitHub/Datasets/Cifar10/train/airplane/0200.png; 1; 1
