files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0001.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0002.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0003.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0004.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0005.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0006.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0007.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0008.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0009.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0010.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0011.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0012.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0013.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0014.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0015.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0016.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0017.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0018.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0019.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0020.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0021.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0022.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0023.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0024.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0025.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0026.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0027.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0028.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0029.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0030.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0031.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0032.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0033.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0034.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0035.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0036.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0037.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0038.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0039.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0040.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0041.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0042.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0043.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0044.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0045.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0046.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0047.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0048.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0049.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0050.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0051.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0052.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0053.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0054.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0055.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0056.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0057.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0058.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0059.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0060.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0061.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0062.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0063.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0064.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0065.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0066.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0067.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0068.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0069.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0070.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0071.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0072.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0073.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0074.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0075.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0076.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0077.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0078.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0079.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0080.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0081.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0082.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0083.png; 1;4
D:/GitHub/Datasets/Cifar10/train/airplane/airplane_0084.png; 1;4
