Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,8057127
True Negative;4370,000000;1433,000000; 484,000000;0,8057127
False Positive; 130,000000;  67,000000;  16,000000;0,8057127
False Negative; 111,000000;  60,000000;  16,000000;0,8057127
True Positive;4389,000000;1440,000000; 484,000000;0,8057127
Condition Negative;4500,000000;1500,000000; 500,000000;0,8057127
Condition Positive;4500,000000;1500,000000; 500,000000;0,8057127
Accuracy;   0,973222;   0,957667;   0,968000;0,8057127
Balanced Accuracy;   0,973222;   0,957667;   0,968000;0,8057127
Area Under ROC Curve;   0,996796;   0,994271;   0,995800;0,8057127
Bias;  -0,002111;  -0,002333;   0,000000;0,8057127
Classification Error;   0,026778;   0,042333;   0,032000;0,8057127
True Positive Rate;   0,975333;   0,960000;   0,968000;0,8057127
True Negative Rate;   0,971111;   0,955333;   0,968000;0,8057127
Positive Prediction Value;   0,971233;   0,955541;   0,968000;0,8057127
Negative Predictive Value;   0,975229;   0,959812;   0,968000;0,8057127
False Negative Rate;   0,024667;   0,040000;   0,032000;0,8057127
False Positive Rate;   0,028889;   0,044667;   0,032000;0,8057127
False Discovery Rate;   0,028767;   0,044459;   0,032000;0,8057127
False Omission Rate;   0,024771;   0,040188;   0,032000;0,8057127
Threat Score;   0,947948;   0,918953;   0,937984;0,8057127
F1 Score;   0,973279;   0,957765;   0,968000;0,8057127
Bookmaker Informedness;   0,946444;   0,915333;   0,936000;0,8057127
Markedness;   0,946461;   0,915353;   0,936000;0,8057127
Gini Index;   0,993592;   0,988541;   0,991600;0,8057127
Cost; 241,000000; 127,000000;  32,000000;0,8057127
