Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4325,000000;1408,000000; 476,000000;0,5
False Positive; 175,000000;  92,000000;  24,000000;0,5
False Negative;  34,000000;  36,000000;   5,000000;0,5
True Positive;4466,000000;1464,000000; 495,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,976778;   0,957333;   0,971000;0,5
Balanced Accuracy;   0,976778;   0,957333;   0,971000;0,5
Area Under ROC Curve;   0,997950;   0,994998;   0,997468;0,5
Bias;  -1,015667;  -1,018667;  -1,019000;0,5
Classification Error;   0,023222;   0,042667;   0,029000;0,5
True Positive Rate;   0,992444;   0,976000;   0,990000;0,5
True Negative Rate;   0,961111;   0,938667;   0,952000;0,5
Positive Prediction Value;   0,962293;   0,940874;   0,953757;0,5
Negative Predictive Value;   0,992200;   0,975069;   0,989605;0,5
False Negative Rate;   0,007556;   0,024000;   0,010000;0,5
False Positive Rate;   0,038889;   0,061333;   0,048000;0,5
False Discovery Rate;   0,037707;   0,059126;   0,046243;0,5
False Omission Rate;   0,007800;   0,024931;   0,010395;0,5
Threat Score;   0,955294;   0,919598;   0,944656;0,5
F1 Score;   0,977136;   0,958115;   0,971541;0,5
Bookmaker Informedness;   0,953556;   0,914667;   0,942000;0,5
Markedness;   0,954493;   0,915943;   0,943362;0,5
Gini Index;   0,995900;   0,989996;   0,994936;0,5
Cost; 209,000000; 128,000000;  29,000000;0,5
