Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4378,000000;1421,000000; 479,000000;0,5
False Positive; 122,000000;  79,000000;  21,000000;0,5
False Negative;  38,000000;  37,000000;   6,000000;0,5
True Positive;4462,000000;1463,000000; 494,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,982222;   0,961333;   0,973000;0,5
Balanced Accuracy;   0,982222;   0,961333;   0,973000;0,5
Area Under ROC Curve;   0,998628;   0,994884;   0,997692;0,5
Bias;  -1,009333;  -1,014000;  -1,015000;0,5
Classification Error;   0,017778;   0,038667;   0,027000;0,5
True Positive Rate;   0,991556;   0,975333;   0,988000;0,5
True Negative Rate;   0,972889;   0,947333;   0,958000;0,5
Positive Prediction Value;   0,973386;   0,948768;   0,959223;0,5
Negative Predictive Value;   0,991395;   0,974623;   0,987629;0,5
False Negative Rate;   0,008444;   0,024667;   0,012000;0,5
False Positive Rate;   0,027111;   0,052667;   0,042000;0,5
False Discovery Rate;   0,026614;   0,051232;   0,040777;0,5
False Omission Rate;   0,008605;   0,025377;   0,012371;0,5
Threat Score;   0,965383;   0,926536;   0,948177;0,5
F1 Score;   0,982387;   0,961867;   0,973399;0,5
Bookmaker Informedness;   0,964444;   0,922667;   0,946000;0,5
Markedness;   0,964781;   0,923391;   0,946852;0,5
Gini Index;   0,997256;   0,989767;   0,995384;0,5
Cost; 160,000000; 116,000000;  27,000000;0,5
