files;actual_class;predicted;cutoff;predicted_class
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1001.jpg;0;0,5559015;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1037.jpg;0;0,9386430;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1056.jpg;0;0,9041093;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1057.jpg;0;0,9053556;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1076.jpg;0;0,7039897;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1113.jpg;0;0,8245101;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1140.jpg;0;0,9415697;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1234.jpg;0;0,5152342;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1305.jpg;0;0,6113775;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1317.jpg;0;0,9999901;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1331.jpg;0;0,9376242;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat134.jpg;0;0,9984593;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1377.jpg;0;0,5810199;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1384.jpg;0;0,9161966;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1397.jpg;0;0,5972847;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1469.jpg;0;0,6161652;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1557.jpg;0;0,7118645;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1570.jpg;0;0,8701743;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1656.jpg;0;0,5472835;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1674.jpg;0;0,8302210;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1684.jpg;0;0,8740526;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat170.jpg;0;0,8432181;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1728.jpg;0;0,6512098;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1823.jpg;0;0,5360520;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1847.jpg;0;0,6871592;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1945.jpg;0;0,5638847;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1953.jpg;0;0,8398749;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1956.jpg;0;0,7832140;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1968.jpg;0;0,5069793;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2013.jpg;0;0,8598273;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2027.jpg;0;0,6131957;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2035.jpg;0;0,9435251;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2044.jpg;0;0,9930056;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2051.jpg;0;0,9156040;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2063.jpg;0;0,5245709;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2098.jpg;0;0,7469320;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2113.jpg;0;0,8535501;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat215.jpg;0;0,7631145;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2153.jpg;0;0,5208589;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2159.jpg;0;0,8179612;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2170.jpg;0;0,8063505;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2196.jpg;0;0,6069485;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2226.jpg;0;0,6183179;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2284.jpg;0;0,8107697;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2320.jpg;0;0,7525027;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2333.jpg;0;0,9419309;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2340.jpg;0;0,7961361;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2393.jpg;0;0,5551800;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2395.jpg;0;0,9918861;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2407.jpg;0;0,7380290;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat242.jpg;0;0,6247689;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2448.jpg;0;0,6032526;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat25.jpg;0;0,9050795;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2570.jpg;0;0,6142446;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2583.jpg;0;0,6714779;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2669.jpg;0;0,9411147;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2713.jpg;0;0,8656746;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2734.jpg;0;0,5285719;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2853.jpg;0;0,7434224;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat2907.jpg;0;0,7853417;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat305.jpg;0;0,5949792;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3123.jpg;0;0,8011464;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3196.jpg;0;0,7590145;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3213.jpg;0;0,6600921;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3236.jpg;0;0,5035110;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3241.jpg;0;0,5953112;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3267.jpg;0;0,5498740;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat331.jpg;0;0,7440672;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3329.jpg;0;0,8027160;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat3430.jpg;0;0,7130651;0,5;1
